Date,Time,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,"EMA20,ffd=True","EMA50,ffd=True","EMA100,ffd=True","EMA200,ffd=True","ADX14,ffd=True","BBP13,method=EMA,ffd=True","RSI14,method=RMA,ffd=True",Stoch5-3-3_line,Stoch5-3-3_signal,Stoch14-3-3_line,Stoch14-3-3_signal,Stoch21-5-5_line,Stoch21-5-5_signal,"StochRSI13-8-5-5_line,rsi-method=[rma,True]","StochRSI13-8-5-5_signal,rsi-method=[rma,True]","StochRSI21-13-8-8_line,rsi-method=[sma,True]","StochRSI21-13-8-8_signal,rsi-method=[sma,True]","CCI14,method=SMA","CCI20,method=SMA","CCI30,method=SMA","MACD6-13-5_line,method=[EMA,True],SMA","MACD6-13-5_signal,method=[EMA,True],SMA","MACD12-26-9_line,method=[EMA,True],SMA","MACD12-26-9_signal,method=[EMA,True],SMA","MACD24-52-18_line,method=[EMA,True],SMA","MACD24-52-18_signal,method=[EMA,True],SMA"
20210921,0,60000,60890,56760,58120,5706968,58691.5,,,,55798.921989364215,,,,73.37283499538687,118.05005726327363,64.31797466266057,28.30394602827535,20.10796975130411,44.33566433566434,46.348096348096355,66.69863587533732,76.72306028130076,4.487071744553614,5.752852071928598,,,-49.2479474548439,-3.5880836122236235,48.34898948055077,715.0798050230005,1667.7620150525647,6333.164936377594,8529.608856883522,,
20210922,0,58930,60080,56100,58570,6028562,58993.5,,,,56062.83418085334,,,,70.24749315607565,-1295.957093774341,65.00570351068059,37.07463160747157,28.270400583074036,43.49251501793875,44.58297509144967,60.96436712154074,71.72772605411211,5.6748203420058765,4.554444312552722,,,-73.88741526672555,-20.19458752350572,42.60109835247123,482.77486482095264,1166.226836888786,5826.863285449552,8041.180617383521,,
20210925,0,58100,60020,57590,58560,2844907,59192.0,,,,56300.659496962544,,,,67.34539001957238,184.89391962198715,64.97573320978123,40.43476427156195,35.27111396910296,33.33656516791624,40.38824817383978,56.427934844002586,66.65833681809173,6.838874659011077,5.084878812083917,,,-70.95111540629776,-15.245831287135593,44.21125719533234,319.41368245965714,804.7062446706041,5362.987481611912,7542.585367308082,,
20210926,0,59000,59000,56530,58600,5241011,59384.0,,,,56519.64430677563,,,,64.13381300994023,-1862.94806889545,65.04515434385128,48.96079795871028,42.156731279247936,27.64374937949816,34.824276521784384,53.61822412259623,62.01226959060208,8.102657315125088,5.868069842837914,,,-86.16091954023005,-40.245957983746756,33.55187042036258,212.07362458702846,576.2362394484255,4941.626239498524,7017.243070011532,,
20210928,0,58410,59800,57500,58950,2425236,59447.0,,,,56751.10675374938,,,,61.392228465078325,-165.38405905324908,65.68604822414989,54.34933890048712,47.91496704358645,24.88846398980242,28.622926179072277,49.15617325659985,57.37306704401534,6.222515548925026,6.265187921924135,,,-55.465367965368046,-23.755997391803582,37.90748945825044,187.69915549820143,383.40822647776804,4583.105309187486,6485.795480163677,,
20210929,0,58000,59600,57720,59050,2879610,59599.5,,,,56970.04896767801,,,,58.84647138770654,-236.04347918850544,65.87854476065868,61.93720865986159,55.082448506352996,26.449968132568518,26.327393833956364,46.581281731966655,53.349596215341215,8.876875901877685,7.143148753388951,3.29558633647054,,-47.78067092748723,-26.507008992097855,34.34942636751647,179.40053542347596,276.27237255786315,4257.9609300641605,5976.361664981868,,
20211002,0,59000,59820,57190,57500,4165002,59752.0,,,,57020.52049456582,,,,56.19271700364258,-180.89441073301714,60.237785530364555,53.80441848293696,56.69698868109523,23.44764926840514,24.92869379692536,43.86013986013986,49.92875076306104,7.689127304425421,7.54601014587286,3.29558633647054,,-65.25981775550035,-51.83440990231329,19.562045446833654,-54.43129463955847,168.8311406657609,3831.0476879582566,5497.603288117566,,
20211003,0,58180,58180,56030,56730,3429099,59843.5,,,,56992.85187603574,,,,53.114130936174334,-2447.909494914027,57.59930136727796,40.12798542741047,51.95653752340301,16.829352449696835,22.24232328355683,41.3006993006993,46.903303654400375,6.525072987420221,7.483249811554688,2.042560977924819,,-106.51287793952972,-97.4403602558258,-9.771687095586351,-305.3719540806196,43.87401335770555,3391.488336588016,5051.259286499529,,
20211004,0,56500,59920,55910,59900,6474426,59981.0,,,,57269.723125937104,,,,50.89158191233511,-1276.7795670691703,64.49433468757627,48.58820004998302,47.50686798677682,21.297073300301385,20.52469167280112,41.682961106689916,44.516251051219115,19.865748179683173,9.835867984466304,4.80865136224654,,-30.395551964292697,-50.65196888546654,15.234139204632719,6.312211734271841,2.721730787154229,3261.3322825334108,4643.286276585434,,
20211006,0,60000,61460,59700,60800,6216149,60048.5,,,,57605.93997108595,,,,49.32355641472894,3411.3317996549886,66.17606155522408,68.69300399432852,52.469729823907336,37.28369110554852,25.136705618515577,41.509416341595866,42.986899668218314,37.55248993014354,16.101862860710007,7.97734313945953,,137.5768659881254,19.009315595888754,59.98958965906134,325.45303930524096,30.272507548562135,3193.986858045806,4294.488712326347,,
